city,time_utc,month,hour,ghi_w_m2,ambient_c,wind_m_s,baseline_shell_temp_c,ant_shell_temp_c,temp_drop_c,equiv_heat_reduction_w_m2,equiv_electric_saved_kwh_m2_hour
cairo,20060101:0000,1,0,0.0,11.28,2.63,8.779544699937105,8.672035783529282,0.10750891640782356,0.0,0.0
cairo,20060101:0100,1,1,0.0,11.0,2.63,8.505475744605064,8.39815117418766,0.10732457041740417,0.0,0.0
cairo,20060101:0200,1,2,0.0,10.71,2.62,8.216880336403847,8.109600469470024,0.10727986693382263,0.0,0.0
cairo,20060101:0300,1,3,0.0,10.43,2.61,7.938067279756069,7.830825299024582,0.10724198073148727,0.0,0.0
cairo,20060101:0400,1,4,0.0,10.14,2.6,7.649460304528475,7.542262636125088,0.10719766840338707,0.0,0.0
cairo,20060101:0500,1,5,14.0,9.86,2.59,7.735473997890949,7.416769340634346,0.31870465725660324,4.3792,0.0013685
cairo,20060101:0600,1,6,60.0,9.57,2.59,8.649242259562016,7.636845707893372,1.012396551668644,18.767999999999997,0.005864999999999999
cairo,20060101:0700,1,7,220.0,9.29,2.58,12.523838691413403,9.111201912164688,3.4126367792487144,68.816,0.021505
cairo,20060101:0800,1,8,344.0,16.71,3.59,21.857476737350225,17.50461310148239,4.352863635867834,107.60320000000002,0.033626
cairo,20060101:0900,1,9,475.0,18.95,3.86,26.470718942582607,20.78318603336811,5.687532909214497,148.58,0.04643125
cairo,20060101:1000,1,10,495.0,20.7,3.79,28.63989468663931,22.676823642104864,5.963071044534445,154.836,0.048386250000000006
cairo,20060101:1100,1,11,446.0,21.8,3.66,28.83923115208745,23.353000432252884,5.486230719834566,139.5088,0.043596499999999996
cairo,20060101:1200,1,12,328.0,22.43,3.59,27.047199979424477,22.931870706379414,4.115329273045063,102.5984,0.032062
cairo,20060101:1300,1,13,211.0,22.41,3.59,24.562207981944084,21.86887226998806,2.693335711956024,66.0008,0.020625249999999998
cairo,20060101:1400,1,14,43.0,21.77,3.31,20.308648943901062,19.647364169359207,0.6612847745418549,13.450400000000002,0.00420325
cairo,20060101:1500,1,15,0.0,20.12,3.1,17.646106835454702,17.539384085685015,0.10672274976968765,0.0,0.0
cairo,20060101:1600,1,16,0.0,18.68,3.1,16.235400959849358,16.129599548876286,0.10580141097307205,0.0,0.0
cairo,20060101:1700,1,17,0.0,17.47,3.1,15.049929060041904,14.944905266165733,0.10502379387617111,0.0,0.0
cairo,20060101:1800,1,18,0.0,16.24,3.03,13.815550152212381,13.710392862558365,0.1051572896540165,0.0,0.0
cairo,20060101:1900,1,19,0.0,14.82,3.03,12.424394227564335,12.320157214999199,0.10423701256513596,0.0,0.0
cairo,20060101:2000,1,20,0.0,13.61,2.9,11.18357639759779,11.078367419540882,0.10520897805690765,0.0,0.0
cairo,20060101:2100,1,21,0.0,12.58,2.69,10.080305710434914,9.972814731299877,0.10749097913503647,0.0,0.0
cairo,20060101:2200,1,22,0.0,11.77,2.48,9.185723960399628,9.075660407543182,0.11006355285644531,0.0,0.0
cairo,20060101:2300,1,23,0.0,11.04,2.34,8.399312011897564,8.28757118433714,0.1117408275604248,0.0,0.0
cairo,20060102:0000,1,0,0.0,10.43,2.28,7.770666256546974,7.658379375934601,0.11228688061237335,0.0,0.0
cairo,20060102:0100,1,1,0.0,10.49,2.14,7.751268297433853,7.636680193245411,0.11458810418844223,0.0,0.0
cairo,20060102:0200,1,2,0.0,10.4,1.93,7.537258975207806,7.419195733964443,0.11806324124336243,0.0,0.0
cairo,20060102:0300,1,3,0.0,10.81,2.28,8.142217807471752,8.029681481420994,0.11253632605075836,0.0,0.0
cairo,20060102:0400,1,4,0.0,11.28,2.69,8.807672522962093,8.701034933328629,0.10663758963346481,0.0,0.0
cairo,20060102:0500,1,5,10.0,11.58,2.69,9.356091059744358,9.10155601799488,0.2545350417494774,3.128,0.0009775
cairo,20060102:0600,1,6,103.0,12.13,2.97,12.247029021382332,10.705787297338247,1.5412417240440845,32.2184,0.01006825
cairo,20060102:0700,1,7,346.0,12.91,3.1,18.67173634469509,13.89728058129549,4.774455763399601,108.2288,0.0338215
cairo,20060102:0800,1,8,489.0,15.05,3.66,23.245378360152245,17.174170315265656,6.071208044886589,152.9592,0.04779975
cairo,20060102:0900,1,9,573.0,17.34,3.86,26.902498491108418,20.061072781682014,6.841425709426403,179.23440000000002,0.056010750000000005
cairo,20060102:1000,1,10,627.0,19.24,4.0,29.595014452934265,22.30496631935239,7.290048133581877,196.1256,0.061289249999999997
cairo,20060102:1100,1,11,572.0,20.61,4.21,29.555817656219006,23.098617773503065,6.4571998827159405,178.92159999999998,0.05591299999999999
cairo,20060102:1200,1,12,477.0,21.44,4.48,28.28049561008811,23.072199020534754,5.208296589553356,149.20559999999998,0.04662674999999999
cairo,20060102:1300,1,13,315.0,21.81,4.62,25.573689341545105,22.156934924423695,3.4167544171214104,98.532,0.03079125
cairo,20060102:1400,1,14,107.0,21.48,4.41,21.455118842422962,20.193329602479935,1.2617892399430275,33.4696,0.01045925
cairo,20060102:1500,1,15,0.0,19.92,3.52,17.61553306132555,17.51421893015504,0.10131413117051125,0.0,0.0
cairo,20060102:1600,1,16,0.0,18.23,3.45,15.93241885304451,15.831336453557014,0.10108239948749542,0.0,0.0
