location,lat,lon,time_utc,month,hour,ghi_w_m2,ambient_c,wind_m_s,baseline_shell_temp_c,ant_shell_temp_c,temp_drop_c,equiv_heat_reduction_w_m2,equiv_electric_saved_kwh_m2_hour
name,43.913723,4.801025,20160104:2100,1,21,0.0,8.14,1.66,5.151966027915478,5.030549354851246,0.12141667306423187,0.0,0.0
name,43.913723,4.801025,20160104:2200,1,22,0.0,8.03,1.59,4.994743540883064,4.872096963226795,0.12264657765626907,0.0,0.0
name,43.913723,4.801025,20160104:2300,1,23,0.0,8.1,1.59,5.063025318086147,4.940333925187588,0.12269139289855957,0.0,0.0
name,43.913723,4.801025,20160105:0000,1,0,0.0,8.12,1.59,5.0825343653559685,4.959830231964588,0.12270413339138031,0.0,0.0
name,43.913723,4.801025,20160105:0100,1,1,0.0,7.94,1.59,4.906952381134033,4.784363470971584,0.12258891016244888,0.0,0.0
name,43.913723,4.801025,20160105:0200,1,2,0.0,7.37,1.66,4.400649666786194,4.27972998470068,0.12091968208551407,0.0,0.0
name,43.913723,4.801025,20160105:0300,1,3,0.0,6.59,1.59,3.5900436341762543,3.468323200941086,0.12172043323516846,0.0,0.0
name,43.913723,4.801025,20160105:0400,1,4,0.0,6.37,1.45,3.2713598757982254,3.147103972733021,0.12425590306520462,0.0,0.0
name,43.913723,4.801025,20160105:0500,1,5,0.0,5.3,1.79,2.4678264930844307,2.350633628666401,0.11719286441802979,0.0,0.0
name,43.913723,4.801025,20160105:0600,1,6,0.0,4.35,2.0,1.6697173193097115,1.5568475052714348,0.11286981403827667,0.0,0.0
name,43.913723,4.801025,20160105:0700,1,7,0.0,5.08,1.45,2.01361283659935,1.890183724462986,0.12342911213636398,0.0,0.0
name,43.913723,4.801025,20160105:0800,1,8,99.0,5.48,1.17,5.7576872780919075,3.548857867717743,2.2088294103741646,30.967200000000002,0.00967725
name,43.913723,4.801025,20160105:0900,1,9,184.0,6.55,1.1,9.884847439825535,5.854517035186291,4.030330404639244,57.555200000000006,0.017986000000000002
name,43.913723,4.801025,20160105:1000,1,10,332.0,8.46,1.52,16.143217235803604,9.795174933969975,6.34804230183363,103.84960000000001,0.032453
