location,lat,lon,time_utc,month,hour,ghi_w_m2,ambient_c,wind_m_s,baseline_shell_temp_c,ant_shell_temp_c,temp_drop_c,equiv_heat_reduction_w_m2,equiv_electric_saved_kwh_m2_hour
Marseille,43.276259,5.381477,20170101:0000,1,0,0.0,9.35,3.63,7.283685393631458,7.190467230975628,0.09321816265583038,0.0,0.0
Marseille,43.276259,5.381477,20170101:0100,1,1,0.0,9.09,3.23,6.88755989074707,6.789671666920185,0.09788822382688522,0.0,0.0
Marseille,43.276259,5.381477,20170101:0200,1,2,0.0,8.83,2.84,6.475553810596466,6.372659243643284,0.10289456695318222,0.0,0.0
Marseille,43.276259,5.381477,20170101:0300,1,3,0.0,8.56,2.44,6.02507334202528,5.916518867015839,0.10855447500944138,0.0,0.0
Marseille,43.276259,5.381477,20170101:0400,1,4,0.0,8.3,2.04,5.552932471036911,5.438117161393166,0.11481530964374542,0.0,0.0
Marseille,43.276259,5.381477,20170101:0500,1,5,0.0,8.04,1.64,5.040306895971298,4.918585009872913,0.12172188609838486,0.0,0.0
Marseille,43.276259,5.381477,20170101:0600,1,6,0.0,7.78,1.24,4.474328830838203,4.345034621655941,0.12929420918226242,0.0,0.0
Marseille,43.276259,5.381477,20170101:0700,1,7,0.0,7.52,0.84,3.835994601249695,3.6985275894403458,0.13746701180934906,0.0,0.0
Marseille,43.276259,5.381477,20170101:0800,1,8,89.0,8.72,1.79,8.548658862709999,6.8392858281731606,1.7093730345368385,27.8392,0.00869975
Marseille,43.276259,5.381477,20170101:0900,1,9,195.0,9.64,1.72,12.719277516007423,9.089058935642242,3.630218580365181,60.996,0.019061250000000002
Marseille,43.276259,5.381477,20170101:1000,1,10,243.0,10.96,1.52,15.668524354696274,10.99150575697422,4.6770185977220535,76.0104,0.02375325
Marseille,43.276259,5.381477,20170101:1100,1,11,258.0,12.2,2.0,16.809303164482117,12.371316887438297,4.437986277043819,80.70240000000001,0.025219500000000002
Marseille,43.276259,5.381477,20170101:1200,1,12,306.0,12.9,2.62,18.165498450398445,13.546671830117702,4.618826620280743,95.7168,0.0299115
