location,lat,lon,time_utc,month,hour,ghi_w_m2,ambient_c,wind_m_s,baseline_shell_temp_c,ant_shell_temp_c,temp_drop_c,equiv_heat_reduction_w_m2,equiv_electric_saved_kwh_m2_hour
wien,48.212614,16.412059,20170103:1900,1,19,0.0,0.1,5.24,-1.4046632871031761,-1.476705800741911,0.07204251363873482,0.0,0.0
wien,48.212614,16.412059,20170103:2000,1,20,0.0,0.1,5.24,-1.4046632871031761,-1.476705800741911,0.07204251363873482,0.0,0.0
wien,48.212614,16.412059,20170103:2100,1,21,0.0,0.18,5.17,-1.3395380228757858,-1.4121801778674126,0.07264215499162674,0.0,0.0
wien,48.212614,16.412059,20170103:2200,1,22,0.0,0.39,4.9,-1.1880069598555565,-1.2629848159849644,0.07497785612940788,0.0,0.0
wien,48.212614,16.412059,20170103:2300,1,23,0.0,0.63,4.69,-0.9976895898580551,-1.0746262408792973,0.07693665102124214,0.0,0.0
wien,48.212614,16.412059,20170104:0000,1,0,0.0,1.2,4.69,-0.43663857504725456,-0.5139267630875111,0.0772881880402565,0.0,0.0
wien,48.212614,16.412059,20170104:0100,1,1,0.0,1.56,5.1,0.0058363378047943115,-0.06819581612944603,0.07403215393424034,0.0,0.0
wien,48.212614,16.412059,20170104:0200,1,2,0.0,1.87,5.72,0.4281197488307953,0.35862768068909645,0.06949206814169884,0.0,0.0
wien,48.212614,16.412059,20170104:0300,1,3,0.0,2.19,6.28,0.8353502117097378,0.7694704085588455,0.06587980315089226,0.0,0.0
wien,48.212614,16.412059,20170104:0400,1,4,0.0,2.47,6.69,1.1718707159161568,1.1083713173866272,0.06349939852952957,0.0,0.0
wien,48.212614,16.412059,20170104:0500,1,5,0.0,2.58,6.83,1.299845613539219,1.2371098063886166,0.06273580715060234,0.0,0.0
wien,48.212614,16.412059,20170104:0600,1,6,0.0,2.52,7.1,1.276385197415948,1.215211944654584,0.06117325276136398,0.0,0.0
wien,48.212614,16.412059,20170104:0700,1,7,14.0,2.4,7.79,1.4247688837349415,1.2609965540468693,0.1637723296880722,4.3792,0.0013685
wien,48.212614,16.412059,20170104:0800,1,8,28.0,2.47,8.28,1.7137390188872814,1.4556824881583452,0.2580565307289362,8.7584,0.002737
wien,48.212614,16.412059,20170104:0900,1,9,137.0,2.9,8.9,3.4720605798065662,2.4821303226053715,0.9899302572011948,42.8536,0.013391750000000001
wien,48.212614,16.412059,20170104:1000,1,10,189.0,3.22,7.59,4.5560577511787415,3.0383054725825787,1.5177522785961628,59.119200000000006,0.01847475
wien,48.212614,16.412059,20170104:1100,1,11,158.0,3.61,7.31,4.552277401089668,3.2376062870025635,1.3146711140871048,49.4224,0.0154445
wien,48.212614,16.412059,20170104:1200,1,12,129.0,3.82,7.72,4.339411985129118,3.297743033617735,1.041668951511383,40.351200000000006,0.012609750000000001
wien,48.212614,16.412059,20170104:1300,1,13,178.0,3.59,7.45,4.790236447006464,3.3376406133174896,1.4525958336889744,55.6784,0.0173995
wien,48.212614,16.412059,20170104:1400,1,14,61.0,3.29,10.34,2.9940292425453663,2.575753638520837,0.41827560402452946,19.0808,0.00596275
wien,48.212614,16.412059,20170104:1500,1,15,0.0,2.78,9.03,1.7408179864287376,1.688629798591137,0.05218818783760071,0.0,0.0
wien,48.212614,16.412059,20170104:1600,1,16,0.0,2.24,8.28,1.134935300797224,1.0798067413270473,0.0551285594701767,0.0,0.0
