city,time_utc,month,hour,ghi_w_m2,ambient_c,wind_m_s,baseline_roof_temp_c,ant_roof_temp_c,temp_drop_c,cooling_saved_w_m2,electric_saved_kwh_m2_hour
marseille,20170102:0000,1,0,0.0,10.26,1.38,6.8863981030881405,6.755523346364498,0.13087475672364235,0.0,0.0
marseille,20170102:0100,1,1,0.0,10.45,2.07,7.5616976618766785,7.442935556173325,0.11876210570335388,0.0,0.0
marseille,20170102:0200,1,2,0.0,10.41,2.28,7.644676081836224,7.529331110417843,0.11534497141838074,0.0,0.0
marseille,20170102:0300,1,3,0.0,10.51,2.34,7.775399591773748,7.660929635167122,0.11446995660662651,0.0,0.0
marseille,20170102:0400,1,4,0.0,10.3,2.41,7.607635483145714,7.49438488855958,0.11325059458613396,0.0,0.0
marseille,20170102:0500,1,5,0.0,10.28,2.28,7.517645601183176,7.402385380119085,0.11526022106409073,0.0,0.0
marseille,20170102:0600,1,6,0.0,10.19,1.93,7.220372520387173,7.099429722875357,0.12094279751181602,0.0,0.0
marseille,20170102:0700,1,7,0.0,10.21,1.72,7.098242957144976,6.973633859306574,0.1246090978384018,0.0,0.0
marseille,20170102:0800,1,8,67.0,10.47,1.72,10.736954174935818,8.604796677827835,2.1321574971079826,0.0,0.0
marseille,20170102:0900,1,9,137.0,11.16,1.86,14.785098917782307,10.71866100654006,4.066437911242247,0.0,0.0
marseille,20170102:1000,1,10,241.0,11.62,2.9,18.64211798645556,12.922688825055957,5.719429161399603,0.0,0.0
marseille,20170102:1100,1,11,303.0,12.55,3.66,20.846414268016815,14.552964633330703,6.293449634686112,0.0,0.0
marseille,20170102:1200,1,12,268.0,13.19,4.07,19.842056334018707,14.591485494747758,5.250570839270949,0.0,0.0
marseille,20170102:1300,1,13,263.0,13.22,4.21,19.580681808292866,14.527706876397133,5.052974931895733,0.0,0.0
marseille,20170102:1400,1,14,222.0,13.06,3.93,18.33436656743288,13.868526574224234,4.465839993208647,0.0,0.0
marseille,20170102:1500,1,15,71.0,12.69,3.1,12.988531896844506,11.273319218307734,1.7152126785367727,0.0,0.0
marseille,20170102:1600,1,16,0.0,11.68,3.52,9.441921040415764,9.342829491943121,0.0990915484726429,0.0,0.0
marseille,20170102:1700,1,17,0.0,11.2,3.52,8.97125968709588,8.87248158454895,0.09877810254693031,0.0,0.0
marseille,20170102:1800,1,18,0.0,10.62,3.52,8.4025252237916,8.304126281291246,0.09839894250035286,0.0,0.0
marseille,20170102:1900,1,19,0.0,9.97,4.28,8.005460621789098,7.915848596021533,0.08961202576756477,0.0,0.0
marseille,20170102:2000,1,20,0.0,9.44,5.59,7.794186072424054,7.716520130634308,0.07766594178974628,0.0,0.0
marseille,20170102:2100,1,21,0.0,8.66,6.07,7.1157293021678925,7.042077071964741,0.0736522302031517,0.0,0.0
marseille,20170102:2200,1,22,0.0,8.01,6.69,6.576792150735855,6.507644336670637,0.06914781406521797,0.0,0.0
marseille,20170102:2300,1,23,0.0,7.06,7.24,5.718640638515353,5.653309654444456,0.0653309840708971,0.0,0.0
marseille,20170103:0000,1,0,0.0,6.29,8.0,5.053570121526718,4.992700135335326,0.060869986191391945,0.0,0.0
marseille,20170103:0100,1,1,0.0,5.7,9.03,4.579112604260445,4.52327991835773,0.05583268590271473,0.0,0.0
marseille,20170103:0200,1,2,0.0,5.39,9.79,4.340842394158244,4.2882032645866275,0.05263912957161665,0.0,0.0
marseille,20170103:0300,1,3,0.0,5.34,10.14,4.32006916962564,4.268745854496956,0.051323315128684044,0.0,0.0
marseille,20170103:0400,1,4,0.0,5.39,10.62,4.406472872942686,4.356800299137831,0.04967257380485535,0.0,0.0
marseille,20170103:0500,1,5,0.0,5.29,10.9,4.327770075760782,4.279069425538182,0.048700650222599506,0.0,0.0
marseille,20170103:0600,1,6,0.0,5.13,11.03,4.17845546733588,4.130244283005595,0.048211184330284595,0.0,0.0
marseille,20170103:0700,1,7,0.0,5.0,11.1,4.05454549472779,4.006613823585212,0.047931671142578125,0.0,0.0
marseille,20170103:0800,1,8,105.0,5.1,10.62,5.888451598584652,4.795159250497818,1.093292348086834,0.0,0.0
marseille,20170103:0900,1,9,243.0,5.55,9.86,8.8406016305089,6.231056796386838,2.6095448341220617,0.0,0.0
marseille,20170103:1000,1,10,340.0,6.47,8.76,11.948981638997793,7.979146353900433,3.9698352850973606,0.0,0.0
marseille,20170103:1100,1,11,403.0,7.37,7.66,14.759427709504962,9.579214788973331,5.1802129205316305,0.0,0.0
marseille,20170103:1200,1,12,401.0,8.42,7.17,16.102205086499453,10.699924593791366,5.402280492708087,0.0,0.0
marseille,20170103:1300,1,13,355.0,9.08,6.69,16.049565533176064,11.015946930274367,5.033618602901697,0.0,0.0
marseille,20170103:1400,1,14,243.0,9.59,6.07,14.20597386546433,10.487894788384438,3.718079077079892,0.0,0.0
marseille,20170103:1500,1,15,111.0,9.72,5.59,11.059920890256763,9.215235747396946,1.8446851428598166,0.0,0.0
marseille,20170103:1600,1,16,0.0,8.89,5.31,7.195253297686577,7.1156910341233015,0.07956226356327534,0.0,0.0
